size,operation,language,time_seconds
10,init,python,0.001961
10,decreasing,python,0.015846
10,decreasing,cpp/python,0.002879
10,increasing,python,0.010377
10,increasing,cpp/python,0.001472
10,max_preprocessing,python,0.0023
10,max,python,0.007215
10,max_preprocessing,cpp/python,0.000833
10,max,cpp/python,0.001198
10,min_preprocessing,python,0.00078
10,min,python,0.004936
10,min_preprocessing,cpp/python,0.000725
10,min,cpp/python,0.000722
20,init,python,0.000726
20,decreasing,python,0.114738
20,decreasing,cpp/python,0.009336
20,increasing,python,0.142917
20,increasing,cpp/python,0.005836
20,max_preprocessing,python,0.002202
20,max,python,0.024453
20,max_preprocessing,cpp/python,0.003623
20,max,cpp/python,0.002646
20,min_preprocessing,python,0.003536
20,min,python,0.039059
20,min_preprocessing,cpp/python,0.00375
20,min,cpp/python,0.00396
50,init,python,0.005127
50,decreasing,python,4.661231
50,decreasing,cpp/python,0.069242
50,increasing,python,5.863603
50,increasing,cpp/python,0.04843
50,max_preprocessing,python,0.020128
50,max,python,0.140052
50,max_preprocessing,cpp/python,0.015396
50,max,cpp/python,0.026025
50,min_preprocessing,python,0.021221
50,min,python,0.185859
50,min_preprocessing,cpp/python,0.02105
50,min,cpp/python,0.0216
60,init,python,0.006334
60,decreasing,python,9.548049
60,decreasing,cpp/python,0.100228
60,increasing,python,14.703607
60,increasing,cpp/python,0.092813
60,max_preprocessing,python,0.066738
60,max,python,0.275469
60,max_preprocessing,cpp/python,0.029648
60,max,cpp/python,0.026476
60,min_preprocessing,python,0.034353
60,min,python,0.400749
60,min_preprocessing,cpp/python,0.060556
60,min,cpp/python,0.032035
75,init,python,0.007639
75,decreasing,python,25.215644
75,decreasing,cpp/python,0.207623
75,increasing,python,35.965048
75,increasing,cpp/python,0.207194
75,max_preprocessing,python,0.149005
75,max,python,0.542546
75,max_preprocessing,cpp/python,0.070899
75,max,cpp/python,0.048299
75,min_preprocessing,python,0.104955
75,min,python,0.751637
75,min_preprocessing,cpp/python,0.063524
75,min,cpp/python,0.058229
100,init,python,0.019185
100,decreasing,python,95.65966
100,decreasing,cpp/python,0.382546
100,increasing,python,144.910599
100,increasing,cpp/python,0.261138
100,max_preprocessing,python,0.189802
100,max,python,0.887782
100,max_preprocessing,cpp/python,0.197142
100,max,cpp/python,0.08257
100,min_preprocessing,python,0.108329
100,min,python,1.264755
100,min_preprocessing,cpp/python,0.109297
100,min,cpp/python,0.09775
10,init,python,0.001458
10,decreasing,python,0.014205
10,decreasing,cpp/python,0.003221
10,increasing,python,0.009817
10,increasing,cpp/python,0.001348
10,max_preprocessing,python,0.000485
10,max,python,0.005359
10,max_preprocessing,cpp/python,0.000474
10,max,cpp/python,0.000598
10,min_preprocessing,python,0.000461
10,min,python,0.004487
10,min_preprocessing,cpp/python,0.000466
10,min,cpp/python,0.000448
20,init,python,0.000412
20,decreasing,python,0.13709
20,decreasing,cpp/python,0.010951
20,increasing,python,0.133673
20,increasing,cpp/python,0.010773
20,max_preprocessing,python,0.002611
20,max,python,0.019112
20,max_preprocessing,cpp/python,0.002277
20,max,cpp/python,0.001939
20,min_preprocessing,python,0.002584
20,min,python,0.030539
20,min_preprocessing,cpp/python,0.00284
20,min,cpp/python,0.001884
50,init,python,0.00734
50,decreasing,python,4.613935
50,decreasing,cpp/python,0.075532
50,increasing,python,6.062379
50,increasing,cpp/python,0.056677
50,max_preprocessing,python,0.022402
50,max,python,0.154215
50,max_preprocessing,cpp/python,0.020399
50,max,cpp/python,0.021841
50,min_preprocessing,python,0.01935
50,min,python,0.205337
50,min_preprocessing,cpp/python,0.017973
50,min,cpp/python,0.022147
60,init,python,0.003786
60,decreasing,python,8.873848
60,decreasing,cpp/python,0.097175
60,increasing,python,12.861832
60,increasing,cpp/python,0.07645
60,max_preprocessing,python,0.056143
60,max,python,0.212376
60,max_preprocessing,cpp/python,0.034771
60,max,cpp/python,0.022393
60,min_preprocessing,python,0.029856
60,min,python,0.256608
60,min_preprocessing,cpp/python,0.048662
60,min,cpp/python,0.02843
75,init,python,0.006716
75,decreasing,python,22.82645
75,decreasing,cpp/python,0.158259
75,increasing,python,29.981773
75,increasing,cpp/python,0.133666
75,max_preprocessing,python,0.093468
75,max,python,0.334245
75,max_preprocessing,cpp/python,0.055972
75,max,cpp/python,0.043986
75,min_preprocessing,python,0.097354
75,min,python,0.449017
75,min_preprocessing,cpp/python,0.060742
75,min,cpp/python,0.043163
100,init,python,0.011689
100,decreasing,python,71.856454
100,decreasing,cpp/python,0.322474
100,increasing,python,129.301149
100,increasing,cpp/python,0.214229
100,max_preprocessing,python,0.173969
100,max,python,0.603082
100,max_preprocessing,cpp/python,0.139868
100,max,cpp/python,0.069866
100,min_preprocessing,python,0.091266
100,min,python,0.884014
100,min_preprocessing,cpp/python,0.105229
100,min,cpp/python,0.082447
0,total,python,292.471833
10,init,python,0.001407
10,decreasing,python,0.015203
10,decreasing,cpp/python,0.003285
10,increasing,python,0.016556
